flow_id,entry_id,classification,member_index,paragraph_id,stable_ref,canonical_length,display_joiner,speech_run_policy,suppress_next_leading_ranges
FLOW.T22.P028-P032..E0026,LDC.T22.E0026,inherited_dash_continuation,1,LDC.T22.E0026.P029,LDC.T22.E0026.P029,43,space,continue_same_speaker_only,"[[0, 2]]"
FLOW.T22.P028-P032..E0026,LDC.T22.E0026,inherited_dash_continuation,2,LDC.T22.E0026.P030,LDC.T22.E0026.P030,29,space,continue_same_speaker_only,"[[0, 2]]"
FLOW.T22.P028-P032..E0026,LDC.T22.E0026,inherited_dash_continuation,3,LDC.T22.E0026.P031,LDC.T22.E0026.P031,32,space,continue_same_speaker_only,"[[0, 2]]"
FLOW.T22.P028-P032..E0026,LDC.T22.E0026,inherited_dash_continuation,4,LDC.T22.E0026.P032,LDC.T22.E0026.P032,76,,,[]
FLOW.T22.P037-P038..E0026,LDC.T22.E0026,inherited_dash_continuation,0,LDC.T22.E0026.P037,LDC.T22.E0026.P037,44,space,continue_same_speaker_only,"[[0, 2]]"
FLOW.T22.P037-P038..E0026,LDC.T22.E0026,inherited_dash_continuation,1,LDC.T22.E0026.P038,LDC.T22.E0026.P038,108,,,[]
FLOW.T22.P040-P042..E0026,LDC.T22.E0026,inherited_dash_continuation,0,LDC.T22.E0026.P040,LDC.T22.E0026.P040,24,space,continue_same_speaker_only,"[[0, 2]]"
FLOW.T22.P040-P042..E0026,LDC.T22.E0026,inherited_dash_continuation,1,LDC.T22.E0026.P041,LDC.T22.E0026.P041,48,space,continue_same_speaker_only,"[[0, 2]]"
FLOW.T22.P040-P042..E0026,LDC.T22.E0026,inherited_dash_continuation,2,LDC.T22.E0026.P042,LDC.T22.E0026.P042,54,,,[]
FLOW.T22.P044-P047..E0026,LDC.T22.E0026,inherited_dash_continuation,0,LDC.T22.E0026.P044,LDC.T22.E0026.P044,18,space,continue_same_speaker_only,"[[0, 2]]"
FLOW.T22.P044-P047..E0026,LDC.T22.E0026,inherited_dash_continuation,1,LDC.T22.E0026.P045,LDC.T22.E0026.P045,25,space,continue_same_speaker_only,"[[0, 2]]"
FLOW.T22.P044-P047..E0026,LDC.T22.E0026,inherited_dash_continuation,2,LDC.T22.E0026.P046,LDC.T22.E0026.P046,15,space,continue_same_speaker_only,"[[0, 2]]"
FLOW.T22.P044-P047..E0026,LDC.T22.E0026,inherited_dash_continuation,3,LDC.T22.E0026.P047,LDC.T22.E0026.P047,67,,,[]
FLOW.T22.P048-P049..E0026,LDC.T22.E0026,inherited_dash_continuation,0,LDC.T22.E0026.P048,LDC.T22.E0026.P048,91,space,continue_same_speaker_only,"[[0, 2]]"
FLOW.T22.P048-P049..E0026,LDC.T22.E0026,inherited_dash_continuation,1,LDC.T22.E0026.P049,LDC.T22.E0026.P049,62,,,[]
FLOW.T22.P050-P055..E0026,LDC.T22.E0026,inherited_dash_continuation,0,LDC.T22.E0026.P050,LDC.T22.E0026.P050,27,space,continue_same_speaker_only,"[[0, 2]]"
FLOW.T22.P050-P055..E0026,LDC.T22.E0026,inherited_dash_continuation,1,LDC.T22.E0026.P051,LDC.T22.E0026.P051,41,space,continue_same_speaker_only,"[[0, 2]]"
FLOW.T22.P050-P055..E0026,LDC.T22.E0026,inherited_dash_continuation,2,LDC.T22.E0026.P052,LDC.T22.E0026.P052,35,space,continue_same_speaker_only,"[[0, 2]]"
FLOW.T22.P050-P055..E0026,LDC.T22.E0026,inherited_dash_continuation,3,LDC.T22.E0026.P053,LDC.T22.E0026.P053,50,space,continue_same_speaker_only,"[[0, 2]]"
FLOW.T22.P050-P055..E0026,LDC.T22.E0026,inherited_dash_continuation,4,LDC.T22.E0026.P054,LDC.T22.E0026.P054,47,space,continue_same_speaker_only,"[[0, 2]]"
FLOW.T22.P050-P055..E0026,LDC.T22.E0026,inherited_dash_continuation,5,LDC.T22.E0026.P055,LDC.T22.E0026.P055,30,,,[]
FLOW.T22.P056-P059..E0026,LDC.T22.E0026,inherited_dash_continuation,0,LDC.T22.E0026.P056,LDC.T22.E0026.P056,23,space,continue_same_speaker_only,"[[0, 2]]"
FLOW.T22.P056-P059..E0026,LDC.T22.E0026,inherited_dash_continuation,1,LDC.T22.E0026.P057,LDC.T22.E0026.P057,49,space,continue_same_speaker_only,"[[0, 2]]"
